id_job,activity,enabled_time,start_time,end_time,role,resource,wip_wait,wip_start,wip_end,wip_activity,ro_total,ro_single,queue,prefix,attribute_case,attribute_event
3,3_6,0,0,9.033723380167455,,,-1,0.157,-1,-1,[],-1,0,<class 'utility.Prefix'>,{},{}
3,3_3,9.033723380167455,9.033723380167455,18.02925141421565,,,-1,0.157,-1,-1,[],-1,0,<class 'utility.Prefix'>,{},{}
13,13_6,0,9.033723380167455,25.428607848989248,,,-1,1.186,-1,-1,[],-1,0,<class 'utility.Prefix'>,{},{}
18,18_0,0,0,27.27126750773898,,,-1,0.435,-1,-1,[],-1,0,<class 'utility.Prefix'>,{},{}
8,8_9,0,0,28.932436444296336,,,-1,1.302,-1,-1,[],-1,0,<class 'utility.Prefix'>,{},{}
17,17_5,0,0,39.498962651115896,,,-1,2.844,-1,-1,[],-1,0,<class 'utility.Prefix'>,{},{}
18,18_6,27.27126750773898,27.27126750773898,54.8771151305252,,,-1,0.435,-1,-1,[],-1,0,<class 'utility.Prefix'>,{},{}
13,13_5,25.428607848989248,39.498962651115896,55.39471741448509,,,-1,1.186,-1,-1,[],-1,0,<class 'utility.Prefix'>,{},{}
8,8_1,28.932436444296336,28.932436444296336,61.37585676047444,,,-1,1.302,-1,-1,[],-1,0,<class 'utility.Prefix'>,{},{}
6,6_8,0,0,62.489118539758245,,,-1,1.238,-1,-1,[],-1,0,<class 'utility.Prefix'>,{},{}
11,11_4,0,0,68.66235999865567,,,-1,2.359,-1,-1,[],-1,0,<class 'utility.Prefix'>,{},{}
0,0_2,0,0,90.16269854801695,,,-1,2.073,-1,-1,[],-1,0,<class 'utility.Prefix'>,{},{}
7,7_2,0,90.16269854801695,107.19113515326549,,,-1,0.559,-1,-1,[],-1,0,<class 'utility.Prefix'>,{},{}
3,3_2,18.02925141421565,107.19113515326549,116.43885512116564,,,-1,0.157,-1,-1,[],-1,0,<class 'utility.Prefix'>,{},{}
10,10_8,0,62.489118539758245,123.82716935639559,,,-1,2.884,-1,-1,[],-1,0,<class 'utility.Prefix'>,{},{}
6,6_3,62.489118539758245,62.489118539758245,126.22292503788836,,,-1,1.238,-1,-1,[],-1,0,<class 'utility.Prefix'>,{},{}
19,19_0,0,27.27126750773898,128.63016912698657,,,-1,8.108,-1,-1,[],-1,0,<class 'utility.Prefix'>,{},{}
16,16_7,0,0,131.8548523330588,,,-1,4.51,-1,-1,[],-1,0,<class 'utility.Prefix'>,{},{}
